song_name,added_at,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
Europa - Single Mix,2015-02-12T22:27:48Z,3:49,0,5,https://open.spotify.com/track/6vm8673wsUGHfQAUjAiew3,,Epicon,2008-08-26,12,https://i.scdn.co/image/ab67616d00001e02ca858e4e99231f2c105f3d75,https://open.spotify.com/album/5Aivi1OEn8e2dZGIipIopT,Globus,https://open.spotify.com/artist/2SrDoQLTZqsVi8Vg1UdHao
Lacrimosa Dominae,2015-02-12T22:27:43Z,2:30,0,3,https://open.spotify.com/track/0IXMD0dcTuJhu0QQo8a0pp,,Trailerhead,2008-07-15,15,https://i.scdn.co/image/ab67616d00001e029806d51d58e0982743edd619,https://open.spotify.com/album/1BZ1KruGoMkztNajCP6rZr,Immediate,https://open.spotify.com/artist/5RcJDMYwS4w1XJkNiR4LvM
Aqua Vitae,2015-02-12T22:11:40Z,2:35,49,3,https://open.spotify.com/track/7xyTwfEZREkNAajaaAAZRN,https://p.scdn.co/mp3-preview/0ecb8a4274e3dccafaa33039573b7cfd5c1c6082?cid=2490920ce5574a1a9b97a3e366c39dd3,Reign of Vengeance,2011-04-19,27,https://i.scdn.co/image/ab67616d00001e02c0f1382de6fedb1e4459ef0c,https://open.spotify.com/album/3Yzb8X6vRr0uDHgmETfqMP,Future World Music,https://open.spotify.com/artist/6gmhrHojnyp0SfG4WwJgIE
Deep Heart,2015-02-12T22:05:35Z,2:59,25,5,https://open.spotify.com/track/1OMCsfNqrTEHXtnO6NO7tz,https://p.scdn.co/mp3-preview/f01ec29b7d3fac296c21d114852b195cbc3ba414?cid=2490920ce5574a1a9b97a3e366c39dd3,Phenomena,2014-05-06,18,https://i.scdn.co/image/ab67616d00001e02aa313b8ea7586e44bb3d6a0e,https://open.spotify.com/album/1nztUKAqwyZWUeawshlYiU,Audiomachine,https://open.spotify.com/artist/5F4ObszoeVebqtc0B3XqJa
Redemption,2015-02-12T21:59:48Z,1:36,32,10,https://open.spotify.com/track/02B257ESviaixBwhkVdGRA,https://p.scdn.co/mp3-preview/a17f5462edd9b5badf2f63abda88f0ab4da73c94?cid=2490920ce5574a1a9b97a3e366c39dd3,Chronicles,2012-03-23,28,https://i.scdn.co/image/ab67616d00001e02b2e5eb4dfb5d1cb7c90526b9,https://open.spotify.com/album/2reQVSlAob2ZP8T4Oa7AsR,Audiomachine,https://open.spotify.com/artist/5F4ObszoeVebqtc0B3XqJa
An Unfinished Life,2015-02-12T21:58:49Z,2:05,40,3,https://open.spotify.com/track/5KlAzJduhdzXClrMSJzsmV,https://p.scdn.co/mp3-preview/ce8f686122bf8af4efbfb08b2051deb3e981cb28?cid=2490920ce5574a1a9b97a3e366c39dd3,Tree of Life,2013-07-16,26,https://i.scdn.co/image/ab67616d00001e0292031270963b4a93d26204fe,https://open.spotify.com/album/3XWmEVHHR0SAufYQbmIhXX,Audiomachine,https://open.spotify.com/artist/5F4ObszoeVebqtc0B3XqJa
Breath and Life,2015-02-12T21:55:18Z,1:50,50,8,https://open.spotify.com/track/5ugCgHftDye3SLUM8tSVH0,https://p.scdn.co/mp3-preview/c69c1b99862841bca33d3c006de3e8131910652d?cid=2490920ce5574a1a9b97a3e366c39dd3,Chronicles,2012-03-23,28,https://i.scdn.co/image/ab67616d00001e02b2e5eb4dfb5d1cb7c90526b9,https://open.spotify.com/album/2reQVSlAob2ZP8T4Oa7AsR,Audiomachine,https://open.spotify.com/artist/5F4ObszoeVebqtc0B3XqJa
Guardians At the Gate,2015-02-12T21:55:17Z,2:08,59,1,https://open.spotify.com/track/4MUN6PQPplQDajjx7NCcdr,https://p.scdn.co/mp3-preview/6a3d7653716094e7303830495c260abdfbb3e294?cid=2490920ce5574a1a9b97a3e366c39dd3,Chronicles,2012-03-23,28,https://i.scdn.co/image/ab67616d00001e02b2e5eb4dfb5d1cb7c90526b9,https://open.spotify.com/album/2reQVSlAob2ZP8T4Oa7AsR,Audiomachine,https://open.spotify.com/artist/5F4ObszoeVebqtc0B3XqJa
Akkadian Empire,2015-02-12T21:55:16Z,1:22,47,3,https://open.spotify.com/track/586eHbSgVkBHlWP6ORwx6E,https://p.scdn.co/mp3-preview/727d8251b2b856f916d986442e3bb35d2e004563?cid=2490920ce5574a1a9b97a3e366c39dd3,Chronicles,2012-03-23,28,https://i.scdn.co/image/ab67616d00001e02b2e5eb4dfb5d1cb7c90526b9,https://open.spotify.com/album/2reQVSlAob2ZP8T4Oa7AsR,Audiomachine,https://open.spotify.com/artist/5F4ObszoeVebqtc0B3XqJa
After The Fall,2015-02-11T22:33:17Z,2:26,41,22,https://open.spotify.com/track/2uEgFeRu6njygce2ZyOWA8,https://p.scdn.co/mp3-preview/50c3908c8fbc092560d60dc2c712ed034a9de644?cid=2490920ce5574a1a9b97a3e366c39dd3,Invincible,2010-05-03,22,https://i.scdn.co/image/ab67616d00001e028f5636c9f7c8e432f81fe29a,https://open.spotify.com/album/0zOdkaCbYN1B42zw8TUYlY,Two Steps from Hell,https://open.spotify.com/artist/2qvP9yerCZCS0U1gZU8wYp
Freedom Fighters,2015-02-11T00:27:55Z,2:31,52,1,https://open.spotify.com/track/1gjUBLiGk3MdFksH3aRMax,https://p.scdn.co/mp3-preview/b0f9d9da8a00865ee4f2a2bbe201935a51c7dcac?cid=2490920ce5574a1a9b97a3e366c39dd3,Invincible,2010-05-03,22,https://i.scdn.co/image/ab67616d00001e028f5636c9f7c8e432f81fe29a,https://open.spotify.com/album/0zOdkaCbYN1B42zw8TUYlY,Two Steps from Hell,https://open.spotify.com/artist/2qvP9yerCZCS0U1gZU8wYp
United We Stand - Divided We Fall,2015-02-11T00:27:54Z,3:57,49,4,https://open.spotify.com/track/2ZssT3XEX1cObqahy9YrQM,https://p.scdn.co/mp3-preview/b4270f8d5bc252c294194c67f6b382c2f402df2c?cid=2490920ce5574a1a9b97a3e366c39dd3,Archangel,2011-09-20,26,https://i.scdn.co/image/ab67616d00001e029a2b587110f6c9e8d3967dcb,https://open.spotify.com/album/1TVpHhBK3pSTqizgLLh16s,Two Steps from Hell,https://open.spotify.com/artist/2qvP9yerCZCS0U1gZU8wYp
To Glory,2015-02-11T00:27:54Z,4:35,53,21,https://open.spotify.com/track/4qxQreMZwLWqfrD9e2dZoz,https://p.scdn.co/mp3-preview/8629c4fc79fc1609e3847c597c3db89f70ec9f09?cid=2490920ce5574a1a9b97a3e366c39dd3,Invincible,2010-05-03,22,https://i.scdn.co/image/ab67616d00001e028f5636c9f7c8e432f81fe29a,https://open.spotify.com/album/0zOdkaCbYN1B42zw8TUYlY,Two Steps from Hell,https://open.spotify.com/artist/2qvP9yerCZCS0U1gZU8wYp
Final Frontier,2015-02-11T00:27:52Z,4:46,45,7,https://open.spotify.com/track/1On5yF6WvujqjSTGUMpQjy,https://p.scdn.co/mp3-preview/7e4beae7d432eaa4398eba197736ee494c9d5d5a?cid=2490920ce5574a1a9b97a3e366c39dd3,Sun,2014-09-30,16,https://i.scdn.co/image/ab67616d00001e02ba8ac1a0b5f71d8b278217d1,https://open.spotify.com/album/0KxuFf203h4hZz3UijS90k,Thomas Bergersen,https://open.spotify.com/artist/6BF0bXbsdujMSMeFZBGcBq
Blackheart,2015-02-11T00:12:19Z,4:26,55,9,https://open.spotify.com/track/2jn89xTHIVsy167uOmAewt,https://p.scdn.co/mp3-preview/5d682c6984b9bf28140bdd2835a4c54bf7abb05d?cid=2490920ce5574a1a9b97a3e366c39dd3,SkyWorld,2012-10-27,22,https://i.scdn.co/image/ab67616d00001e024784c47d1373f136ea74f47e,https://open.spotify.com/album/01w0dp5OVOgviPw2HHXB3M,Two Steps from Hell,https://open.spotify.com/artist/2qvP9yerCZCS0U1gZU8wYp
Archangel,2015-02-11T00:06:06Z,2:34,56,2,https://open.spotify.com/track/3pTNVDJpzaLxiZnbC18SMX,https://p.scdn.co/mp3-preview/f7911b257790b408b0982aae1e346b3fdce57d96?cid=2490920ce5574a1a9b97a3e366c39dd3,Archangel,2011-09-20,26,https://i.scdn.co/image/ab67616d00001e029a2b587110f6c9e8d3967dcb,https://open.spotify.com/album/1TVpHhBK3pSTqizgLLh16s,Two Steps from Hell,https://open.spotify.com/artist/2qvP9yerCZCS0U1gZU8wYp
Dragon Rider,2015-02-11T00:06:06Z,1:53,51,15,https://open.spotify.com/track/0G8iyOJFQ8Wvm4Fe6xjQdr,https://p.scdn.co/mp3-preview/676adc1bb85e48a6c6f1cdea5586050626825d1d?cid=2490920ce5574a1a9b97a3e366c39dd3,Archangel,2011-09-20,26,https://i.scdn.co/image/ab67616d00001e029a2b587110f6c9e8d3967dcb,https://open.spotify.com/album/1TVpHhBK3pSTqizgLLh16s,Two Steps from Hell,https://open.spotify.com/artist/2qvP9yerCZCS0U1gZU8wYp
Strength of a Thousand Men,2015-02-11T00:06:05Z,2:16,59,10,https://open.spotify.com/track/3GJZLvGXaVszYdSBLMtJFX,https://p.scdn.co/mp3-preview/5c30efa928b97f37c591e4333b30527a2e130fb3?cid=2490920ce5574a1a9b97a3e366c39dd3,Archangel,2011-09-20,26,https://i.scdn.co/image/ab67616d00001e029a2b587110f6c9e8d3967dcb,https://open.spotify.com/album/1TVpHhBK3pSTqizgLLh16s,Two Steps from Hell,https://open.spotify.com/artist/2qvP9yerCZCS0U1gZU8wYp
Heart of Courage,2015-02-10T23:59:33Z,1:57,65,2,https://open.spotify.com/track/4JtvyWkWQTPVcroZf8JJkp,https://p.scdn.co/mp3-preview/14281b9f28c72c987dbc73fb1a542667f8806633?cid=2490920ce5574a1a9b97a3e366c39dd3,Invincible,2010-05-03,22,https://i.scdn.co/image/ab67616d00001e028f5636c9f7c8e432f81fe29a,https://open.spotify.com/album/0zOdkaCbYN1B42zw8TUYlY,Two Steps from Hell,https://open.spotify.com/artist/2qvP9yerCZCS0U1gZU8wYp
Kuvera,2015-02-10T23:40:56Z,4:05,30,6,https://open.spotify.com/track/4o2HNr1GdTEU9BJoTIbWM6,https://p.scdn.co/mp3-preview/e557e173a8ab48ce0223d5afb8ff92c74b6c7e66?cid=2490920ce5574a1a9b97a3e366c39dd3,Makara,2010-02-02,15,https://i.scdn.co/image/ab67616d00001e0229e9e9ca5cf51d653febc263,https://open.spotify.com/album/4GhLLFl0mKnTg7jNGTEdMQ,E.S. Posthumus,https://open.spotify.com/artist/1CqW2UkLsaZvByLwkOaNsH
Pompeii,2015-02-10T23:21:22Z,3:40,36,12,https://open.spotify.com/track/0OQqwcp91YgRBpjtyCWdEQ,https://p.scdn.co/mp3-preview/e156e056e7e3a486f7ad3c5acf72d57cac89f6ef?cid=2490920ce5574a1a9b97a3e366c39dd3,Unearthed,2001-01-01,13,https://i.scdn.co/image/ab67616d00001e02cc36d1fa119b61c78de48f0c,https://open.spotify.com/album/5dO8FBozMXBNXRwuGbYt12,E.S. Posthumus,https://open.spotify.com/artist/1CqW2UkLsaZvByLwkOaNsH
Arise,2015-02-10T23:13:57Z,4:12,38,11,https://open.spotify.com/track/6WtGYhmAmMcrIr6sj86FDC,https://p.scdn.co/mp3-preview/10276a9dbca485dd57c9ad7b890653de2b7b2f49?cid=2490920ce5574a1a9b97a3e366c39dd3,Makara,2010-02-02,15,https://i.scdn.co/image/ab67616d00001e0229e9e9ca5cf51d653febc263,https://open.spotify.com/album/4GhLLFl0mKnTg7jNGTEdMQ,E.S. Posthumus,https://open.spotify.com/artist/1CqW2UkLsaZvByLwkOaNsH
Protectors of the Earth,2015-02-10T08:52:52Z,2:49,59,14,https://open.spotify.com/track/1YtHpYEbbfQQIyxXkdxEoW,https://p.scdn.co/mp3-preview/6a023867c47d3825184415a910084ab77bd5a168?cid=2490920ce5574a1a9b97a3e366c39dd3,Invincible,2010-05-03,22,https://i.scdn.co/image/ab67616d00001e028f5636c9f7c8e432f81fe29a,https://open.spotify.com/album/0zOdkaCbYN1B42zw8TUYlY,Two Steps from Hell,https://open.spotify.com/artist/2qvP9yerCZCS0U1gZU8wYp
Destiny of the Chosen,2015-02-08T15:24:49Z,4:18,0,1,https://open.spotify.com/track/0CIJm6CaGvTGfvaJvqrKmJ,,Trailerhead: Triumph,2012-11-06,21,https://i.scdn.co/image/ab67616d00001e025cf571c96d2135d5190eed9c,https://open.spotify.com/album/6YzaFXEnGyDyxDV1hdqazI,Immediate,https://open.spotify.com/artist/5RcJDMYwS4w1XJkNiR4LvM
A Hero Will Rise,2015-02-08T11:28:11Z,3:52,38,4,https://open.spotify.com/track/2NZbORV6d78HWPipW1lzoP,https://p.scdn.co/mp3-preview/3c2437bf8f80d8eda01e139a44c7749559d4eba6?cid=2490920ce5574a1a9b97a3e366c39dd3,A Hero Will Rise,2012-12-22,28,https://i.scdn.co/image/ab67616d00001e02c331e77aa86b4334fe24f29f,https://open.spotify.com/album/58JfJkwlVYJt6aa9ZQ8gsg,Future World Music,https://open.spotify.com/artist/6gmhrHojnyp0SfG4WwJgIE
Victory of Life,2015-02-08T00:03:55Z,2:50,36,5,https://open.spotify.com/track/0xpfSXU2AYZSawN8evbhBC,https://p.scdn.co/mp3-preview/ecc3222e537143cff5ff036abc99450adec27f38?cid=2490920ce5574a1a9b97a3e366c39dd3,A Hero Will Rise,2012-12-22,28,https://i.scdn.co/image/ab67616d00001e02c331e77aa86b4334fe24f29f,https://open.spotify.com/album/58JfJkwlVYJt6aa9ZQ8gsg,Future World Music,https://open.spotify.com/artist/6gmhrHojnyp0SfG4WwJgIE
Dream Chasers,2015-02-07T23:52:54Z,3:15,44,1,https://open.spotify.com/track/6tXtvM9glF9DFlete3EwVY,https://p.scdn.co/mp3-preview/ae886646b13ba6302fa9fba3781bd75186e5d7e2?cid=2490920ce5574a1a9b97a3e366c39dd3,Reign of Vengeance,2011-04-19,27,https://i.scdn.co/image/ab67616d00001e02c0f1382de6fedb1e4459ef0c,https://open.spotify.com/album/3Yzb8X6vRr0uDHgmETfqMP,Future World Music,https://open.spotify.com/artist/6gmhrHojnyp0SfG4WwJgIE
Time Keepers,2015-02-07T23:42:09Z,3:13,22,5,https://open.spotify.com/track/1EUCxXuBityoixjjhXLTnw,https://p.scdn.co/mp3-preview/bd5a5374bf96ca916888f457cb4bbcea07fc5ffb?cid=2490920ce5574a1a9b97a3e366c39dd3,Reign of Vengeance,2011-04-19,27,https://i.scdn.co/image/ab67616d00001e02c0f1382de6fedb1e4459ef0c,https://open.spotify.com/album/3Yzb8X6vRr0uDHgmETfqMP,Future World Music,https://open.spotify.com/artist/6gmhrHojnyp0SfG4WwJgIE
Moonlight Sonata,2015-02-07T23:38:18Z,5:30,33,15,https://open.spotify.com/track/0gbd8TDNi40WqKBHvmGezp,https://p.scdn.co/mp3-preview/b733a5de5bb0278b12d080b96cca0f3a7a78b4cb?cid=2490920ce5574a1a9b97a3e366c39dd3,Makara,2010-02-02,15,https://i.scdn.co/image/ab67616d00001e0229e9e9ca5cf51d653febc263,https://open.spotify.com/album/4GhLLFl0mKnTg7jNGTEdMQ,E.S. Posthumus,https://open.spotify.com/artist/1CqW2UkLsaZvByLwkOaNsH
Pacific Rim (feat. Tom Morello),2015-02-07T23:33:29Z,4:55,55,1,https://open.spotify.com/track/2KNmDKL0Ngf5wd7iB25cap,https://p.scdn.co/mp3-preview/cdc7e7fd4c125c974c038c4e83e7320ff935ec1d?cid=2490920ce5574a1a9b97a3e366c39dd3,Pacific Rim (Original Motion Picture Soundtrack),2013-07-26,26,https://i.scdn.co/image/ab67616d00001e02e36e5ebe7d2ce3a90675c7fd,https://open.spotify.com/album/0uTUceT9cduDWIsAwK2sCA,Ramin Djawadi,https://open.spotify.com/artist/1hCkSJcXREhrodeIHQdav8
Main Title (Game of Thrones - Season 3),2015-02-07T23:28:48Z,1:44,0,1,https://open.spotify.com/track/7fpQXTY9CZCUr2VDQhsvEm,,Game of Thrones (Music from the HBO® Series) Season 3,2013-06-04,19,https://i.scdn.co/image/ab67616d00001e0292e8c7e31aa2be1739b20ec2,https://open.spotify.com/album/7oiQrUk7bEdl90qF8zkCme,Ramin Djawadi,https://open.spotify.com/artist/1hCkSJcXREhrodeIHQdav8
Radioactive,2014-07-27T11:38:22Z,3:06,72,1,https://open.spotify.com/track/4G8gkOterJn0Ywt6uhqbhp,,Night Visions,2012-09-04,12,https://i.scdn.co/image/ab67616d00001e02b2b2747c89d2157b0b29fb6a,https://open.spotify.com/album/6htgf3qv7vGcsdxLCDxKp8,Imagine Dragons,https://open.spotify.com/artist/53XhwfbYqKCa1cC15pYq2q
Wake Me Up - Radio Edit,2014-07-27T11:38:15Z,4:07,6,1,https://open.spotify.com/track/6g1NlCpW7fgqDnWbCCDrHl,,True,2013-01-01,12,https://i.scdn.co/image/ab67616d00001e02d20bacc84d203cc330a5df75,https://open.spotify.com/album/02h9kO2oLKnLtycgbElKsw,Avicii,https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6
Demons,2014-07-27T11:37:06Z,2:55,1,4,https://open.spotify.com/track/2Oehrcv4Kov0SuIgWyQY9e,,Night Visions (Deluxe),2012-09-04,20,https://i.scdn.co/image/ab67616d00001e02dee648abe19dd6e10902c4ae,https://open.spotify.com/album/1vAEF8F0HoRFGiYOEeJXHW,Imagine Dragons,https://open.spotify.com/artist/53XhwfbYqKCa1cC15pYq2q
